Project Name,Country,Country Full Name,Region,Date Online,Status,Technology Category,Production Technology,Carbon Capture,Type of Electricity Used for Production,Hydrogen Product,End Use,IEA zero-carbon estimated normalized capacity,Electricty Used Color(Feedstock),Latitude,Longitude
Hydrogen plant - Orkney Islands - BIG HIT 1st phase,GBR,United Kingdom,Europe,2018,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Onshore wind,H2,Transportation,96.15,Pink - Nuclear,55.378051,-3.435973
"Windgas Haurup, 1st phase",DEU,Germany,Europe,2018,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Onshore wind,H2,Grid Injection,43.27,Pink - Nuclear,51.165691,10.451526
"Troia,  STORE&GO",ITA,Italy,Europe,2018,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,CH4,CH4 Grid Injection,38.46,Pink - Nuclear,41.87194,12.56738
GNVert H2 ,FRA,France,Europe,2018,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Transportation,37,Pink - Nuclear,46.227638,2.213749
Tongji solar hybrid hydrogen refueling station,CHN,China,Asia and Pacific,2018,Operational,Electrolysis,Unknown PtX,No,Solar PV,H2,Transportation,25,Green - Renewables,35.86166,104.195397
Methanation at Eichhof,DEU,Germany,Europe,2018,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,CH4,CH4 Grid Injection,9.62,Pink - Nuclear,51.165691,10.451526
"CoSin: Synthetic Natural Gas from Sewage, Barcelona",ESP,Spain,Europe,2018,Operational,Electrolysis,Solid Oxide Electrolysis Cells,No,Other,CH4,CH4 Grid Injection,8.8,Yellow - Mixed Origin Grid Energy,40.463667,-3.74922
REFLEX,ITA,Italy,Europe,2018,Operational,Electrolysis,Solid Oxide Electrolysis Cells,No,Other,H2,Power,10,Yellow - Mixed Origin Grid Energy,41.87194,12.56738
Sendai City,JPN,Japan,Asia and Pacific,2018,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Power,4.81,Pink - Nuclear,36.204824,138.252924
"Rostock, Exytron Demonstrationsanlage",DEU,Germany,Europe,2018,Operational,Electrolysis,Alkaline Electrolysis,No,Other,CH4,CH4 Grid Injection,4,Green - Renewables,51.165691,10.451526
